Sl No.,District,Domestic,Foreigner,Total
1,Bengaluru Urban,8306966,107283,8414249
2,Bengaluru Rural,1199895,460,1200355
3,Chitradurga,2102194,1208,2103402
4,Davangere,3136934,49,3136983
5,Kolar,2809433,5,2809438
6,Shivamogga,2271969,4998,2276967
7,Tumkur,65128628,0,65128628
8,Ramanagar,4280830,35933,4316763
9,Chikkaballapura,1459000,580,1459580
10,Belagavi,4289110,15,4289125
11,Bagalakote,2770523,35905,2806428
12,Vijayapura,1941028,2747,1943775
13,Dharawada,2183230,104,2183334
14,Haveri,81500,0,81500
15,Gadaga,42890,2445,45335
16,Uttara Kannada,5227974,19649,5247623
17,Kalaburagi,582077,0,582077
18,Bidar,769607,1016,770623
19,Ballari,3464009,60230,3524239
20,Koppala,1727327,1948,1729275
21,Raichur,16750,0,16750
22,Yadgiri,23475,0,23475
23,Mysuru,15311238,106331,15417569
24,Hassana,2817995,63195,2881190
25,Mandya,13187041,37957,13224998
26,Chamarajanagar,4418308,2151,4420459
27,Chikkamagaluru,8049258,1673,8050931
28,Kodagu,1711490,7986,1719476
29,Dakshina Kannada,14275697,3544,14279241
30,Udupi,6393815,736,6394551
,Total Tourist Arrivals,179980191,498148,180478339
,Growth Rate,38.70%,7.90%,38.60%
,All India Rank,3,11,NA
